"name"	"index"	"dat1"	"dat2"	"dat3"
"gene-1"	1	42.5	19.78	62.28
"gene-2"	2	53.4	21.82	75.22
"gene-3"	3	46.3	22.44	68.74
"gene-4"	4	49.2	21.36	70.56
"gene-5"	5	47.6	23.56	71.16
"gene-6"	6	45.7	22.67	68.37
"gene-7"	7	46.8	12.37	59.17
"gene-8"	8	57.9	23.69	81.59
"gene-9"	9	53.1	24.28	77.38
"gene-10"	10	46.6	18.66	65.26
"gene-11"	11	53.7	13.78	67.48
"gene-12"	12	51.7	16.44	68.14
"gene-13"	13	54.1	17.91	72.01
"gene-14"	14	47.8	16.83	64.63
"gene-15"	15	42.4	20.31	62.71
"gene-16"	16	50.3	22.95	73.25
"gene-17"	17	45.2	20.16	65.36
"gene-18"	18	51.8	16.48	68.28
"gene-19"	19	52.2	16.1	68.3
"gene-20"	20	55.8	21.48	77.28
"gene-21"	21	52.7	22.55	75.25
"gene-22"	22	44.4	20.51	64.91
"gene-23"	23	49.7	17.46	67.16
"gene-24"	24	54	25.4	79.4
"gene-25"	25	52.1	20.6	72.7
"gene-26"	26	53.3	23.1	76.4
"gene-27"	27	52.4	19.99	72.39
"gene-28"	28	49.8	17.48	67.28
"gene-29"	29	43	19.52	62.52
"gene-30"	30	56.6	22.05	78.65
"gene-31"	31	54.8	17.44	72.24
"gene-32"	32	48.4	20.07	68.47
"gene-33"	33	45.3	22.09	67.39
"gene-34"	34	46.5	19.06	65.56
"gene-35"	35	55.2	16.95	72.15
"gene-36"	36	42.7	26.04	68.74
"gene-37"	37	45.5	19.18	64.68
"gene-38"	38	52.3	18.3	70.6
"gene-39"	39	52.2	15.49	67.69
"gene-40"	40	54	19.92	73.92
"gene-41"	41	61.7	24.38	86.08
"gene-42"	42	40.9	19.43	60.33
"gene-43"	43	53.7	18.28	71.98
"gene-44"	44	50	23.27	73.27
"gene-45"	45	56.6	10.88	67.48
"gene-46"	46	47.1	24.95	72.05
"gene-47"	47	47.6	23.48	71.08
"gene-48"	48	56.2	18.58	74.78
"gene-49"	49	45.6	21.83	67.43
"gene-50"	50	47.8	22.51	70.31
"gene-51"	51	49.8	22.92	72.72
"gene-52"	52	49.9	19.67	69.57
"gene-53"	53	52.9	20.14	73.04
"gene-54"	54	51.4	18.45	69.85
"gene-55"	55	50.1	21.47	71.57
"gene-56"	56	53.1	15.94	69.04
"gene-57"	57	48.4	16.37	64.77
"gene-58"	58	55.5	22.46	77.96
"gene-59"	59	48.1	17.11	65.21
"gene-60"	60	53.8	17.69	71.49
"gene-61"	61	50.9	19.35	70.25
"gene-62"	62	50.8	21.44	72.24
"gene-63"	63	48	24.18	72.18
"gene-64"	64	46.9	25.4	72.3
"gene-65"	65	50.5	19.93	70.43
"gene-66"	66	51.4	22.13	73.53
"gene-67"	67	51.3	24.94	76.24
"gene-68"	68	51.4	18.05	69.45
"gene-69"	69	52.8	22.79	75.59
"gene-70"	70	52	19.45	71.45
"gene-71"	71	50	24.76	74.76
"gene-72"	72	50.1	18.35	68.45
"gene-73"	73	51.9	20.78	72.68
"gene-74"	74	50	16.38	66.38
"gene-75"	75	54.4	22.81	77.21
"gene-76"	76	48.9	18.59	67.49
"gene-77"	77	41.3	18.64	59.94
"gene-78"	78	45.6	20.78	66.38
"gene-79"	79	54.4	19.19	73.59
"gene-80"	80	45.9	20.93	66.83
"gene-81"	81	59.5	21.59	81.09
"gene-82"	82	53.5	20.53	74.03
"gene-83"	83	54.9	19.1	74
"gene-84"	84	45.9	19.36	65.26
"gene-85"	85	56.8	22.9	79.7
"gene-86"	86	49.4	13.69	63.09
"gene-87"	87	46.7	19.74	66.44
"gene-88"	88	51.2	19.04	70.24
"gene-89"	89	57	20.11	77.11
"gene-90"	90	47.9	19.07	66.97
"gene-91"	91	52.8	21.89	74.69
"gene-92"	92	56.5	20.31	76.81
"gene-93"	93	48	19.35	67.35
"gene-94"	94	49.9	20.27	70.17
"gene-95"	95	58.3	24.3	82.6
"gene-96"	96	49	22.2	71.2
"gene-97"	97	51.2	18.1	69.3
"gene-98"	98	49.3	18.83	68.13
"gene-99"	99	52.9	20.94	73.84
"gene-100"	100	47.1	21.8	68.9
